DESCRIPTION,QUANTITY_UNIT,MEDICINE_FEE,NAPPI_CODE
Mucane anti acid solution,200ml,40.83,744751039
Mucolinct syrup,200ml,21.43,787078018
Multivit syrup,100ml,4,999999999
Mybulen tabs,30,63.47,879290005
Mypaid caps,30,41.03,810177005
Myprodal Caps,30,65,745561004
Myprodal syrup,100ml,40.35,793744008
Natural sex condoms,3�s,9,999999999
Nauzine syrup12.5mg/5ml,50ml,12.43,820571008
Naygra caps,10,35,999999999
Neoderm cream,25g,31.57,793515017
Neodoxone ear/eardrops,10ml,17.5,999999999
Niclosamide 500mg (yomesan),4,39.18,778877019
Nitrofurantoin (Macrodantin) 100mg,28,131.48,999999999
Nordette,28,45.93,826030009
Normospor vaginal cream,50g,58.16,832421006
Norvasc 10mg,30,226.95,799122009
Norvasc 5mg,30,162,791245004
Nystacid susp 100000IU/ml,20ml,37.9,835285006
Omega H 3 caps,30,45,999999999
Osteocare caps,30,33,999999999
Otosporin ear drops,10ml,45.99,820717002
Otrivin nasal drops Adults,10ml,29.45,798991003
Otrivin nasal drops Paediatric,10ml,28.18,799114006
Painamol plus,30,17.07,707910005
Painamol susp 125mg/5ml,100ml,7.6,752118005
Painamol white/green 500mg tabs,30,3.7,752142135
Panamor 50mg tabs,30,25.21,999999999
Panamor 75 inj 75mg,3ml,8.14,999999999
Pectolyte suspension,150ml,37.3,753246007
Periactin 4mg tabs,30,33.51,753858010
Persivate cream,15g,17.89,754064018
Persivate Ointment,15g,25.76,754072002
Pethidine inj 100mg/ml,1ml,3.62,999999999
Pethidine inj 50mg/1ml,1ml,3.13,830445005
Pevaryl cream1g/100g,15g,96.87,754498018
Pharmapress 10mg,30,62.21,868914002
Pharmapress Co 20/12.5mg,30,100,885019005
Pharmapress tabs 20mg,30,100.63,868922005
Phenergan inj 25mg/ml,1ml,7.27,754765008
Phenergan tabs 10mg,10,5.66,754749010
Phenergan tabs 25mg,15,9.63,754757013
Phensedyl linctus,100ml,22.13,754846008
Phernobarbitone Lethyl 30mg,60,7.65,737844019
Piroxicam caps 20mg Adco,30,108.13,785261001
Podophyllin resins 20%,20g,57,999999999
Prava  40mg,30,221,839655002
Prava 10mg tabs,30,148,787345016
Prava 20mg,30,185,787353027
PredForte eye drops,5ml,88.85,756458005
PredMild eye drops,5ml,72.77,756466008
Prednisolone 5mg tabs,56,7.35,999999999
Pregnacare caps,30,45,999999999
Prelone syrup 15mg/5ml,50ml,88.17,805149023
Prelone syrup 15mg/5ml,100ml,163.57,805149031
Premarin vaginal cream 0.625mg/g,42.5g,85.59,832448001
Prenatal forte tabs,30,10,999999999
Primolut N tabs 5mg,10,42.66,757012027
ProBanthine 15mg,15,34.84,757136028
Proctosedyl ointment with cannula,30g,185.19,757187005
Proctosedyl Suppositories,12,101.77,757195008
Propranolol 40mg Adco,30,12.17,712612025
Prozef suspension 125mg/5ml,60ml,57,830518010
Prozef suspension 125mg/5ml,100ml,76,830518002
Prozef suspension 250mg tabs,10,100,841625018
Prozef suspension 250mg/5ml,100ml,123,830526005
Prozef suspension 500mg tabs,10,162,824941004
Purbac DS,10,16.66,758256019
Purbac susp,100ml,11.99,758221010
Purbac susp,50ml,7.92,758221002
Purbloka 10mg tabs,90,26.43,758140010
Puresis 40mg,30,19.88,758272014
Puricos tabs 300mg,30,46.28,758329008
Purmycin suspension 125mg/5ml,100ml,16.85,758396007
Purmycin suspension 250mg caps,20,27.77,758388020
Purmycin suspension 250mg/5ml,100ml,38.51,758418019
Puromylon 500mg tabs,21,36.69,745685005
Pyridoxine 25mg,90,3.15,999999999
Pyridoxine Quadriderm cream,20g,161.21,758760019
Quinoderm cream,25g,47.23,758914008
Quinoderm face wash,150ml,26.42,814814018
Ranclav 625mg tabs,15,109.36,867381019
