NAME,CODE,CODE2,CODE2CATEG,CODE3,GENERICNAME,DESCRIPTION,CATEGORY,IS_INVENTORY,IS_SERVICE,ACTIVE,MEASUREMENT_UNIT,SALES_PRICE,SALE_INCLUDE_TAX,BUY_PRICE,BUY_PRICE_INCLUDE_TAX,ITEM_TAX,AVAILABLE_AS_TREATMENT,AVAILABLE_AS_DRUG,AVAILABLE_AS_LAB_TEST,AVAILABLE_AS_IMAGING_TEST,AVAILABLE_AS_SURGERY_RELATED,AVAILABLE_AS_INPATIENT_ACCOMM,AVAILABLE_AS_DIAGNOSIS,AVAILABLE_AS_CUSTOM_ITEM_TYPE1,AVAILABLE_AS_CUSTOM_ITEM_TYPE1,AVAILABLE_AS_CUSTOM_ITEM_TYPE2,USE_IN_MEDIC_ACCOUNTS,DURG_DEFAULT_DOSAGE,DRUG_DEFAULT_ADMINISTRATION,DRUG_DEFAULT_FREQUENCY,DRUG_DEFAULT_REFILLS,WARNINGS
CLOMIHEXAL,884980,Z76.9     ,,,Clomifene,CLOMIHEXAL,,Yes,,Yes,,50.11,56.12,,,,,Yes,,,,,,,,,,,TAB,5,,
FERTOMID,840270,Z76.9     ,,,Clomifene,FERTOMID,,Yes,,Yes,,124.37,139.29,,,,,Yes,,,,,,,,,,,TAB,5,,
RIVOTRIL,761087,Z76.9     ,,,Clonazepam,RIVOTRIL,,Yes,,Yes,,315.94,353.85,,,,,Yes,,,,,,,,,,,TAB,30,,
D-VIT,710992,Z76.9     ,,,Colecalciferol,D-VIT,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,TAB,30,,
D-DROPS 3.816ML,704122,Z76.9     ,,,Colecalciferol,D-DROPS 3.816ML,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,DRP,1,,
IRUXOL MONO,734012,Z76.9     ,,,Collagenase; combinations,IRUXOL MONO,,Yes,,Yes,,113.86,127.52,,,,,Yes,,,,,,,,,,,CRM,10,,
KAOSTATEX,734942,Z76.9     ,,,Combinations,KAOSTATEX,,Yes,,Yes,,33.71,37.76,,,,,Yes,,,,,,,,,,,PWD,150,,
VIBROCIL-S MICRODOSE,794414,Z76.9     ,,,Combinations,VIBROCIL-S MICRODOSE,,Yes,,Yes,,86.76,97.17,,,,,Yes,,,,,,,,,,,NSP,1,,
HERBAFORCE OLBAS OIL HF,795461,Z76.9     ,,,Combinations,HERBAFORCE OLBAS OIL HF,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,OIL,10,,
KARVOL CAPSULES,734977,Z76.9     ,,,Combinations,KARVOL CAPSULES,,Yes,,Yes,,45.29,50.72,,,,,Yes,,,,,,,,,,,CAP,10,,
PERIACTIN,753858,Z76.9     ,,,Cyproheptadine,PERIACTIN,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,TAB,30,,
ANDROCUR,791970,Z76.9     ,,,Cyproterone,ANDROCUR,,Yes,,Yes,,331.21,370.96,,,,,Yes,,,,,,,,,,,TAB,15,,
DIANE-35,825859,Z76.9     ,,,Cyproterone and estrogen,DIANE-35,,Yes,,Yes,,167.08,187.13,,,,,Yes,,,,,,,,,,,TAB,28,,
PRADAXA 110 MG,714547,Z76.9     ,,,Dabigatran etexilate,PRADAXA 110 MG,,Yes,,Yes,,953.54,1067.96,,,,,Yes,,,,,,,,,,,TAB,60,,
DDAVP,703639,Z76.9     ,,,Desmopressin,DDAVP,,Yes,,Yes,,700.7,784.78,,,,,Yes,,,,,,,,,,,TAB,20,,
VAGARSAL,835447,Z76.9     ,,,Diiodohydroxyquinoline,VAGARSAL,,Yes,,Yes,,31.52,35.3,,,,,Yes,,,,,,,,,,,CRM,50,,
SCRIPTOLYTE SOLUTION,762873,Z76.9     ,,,,SCRIPTOLYTE SOLUTION,,Yes,,Yes,,9.25,10.36,,,,,Yes,,,,,,,,,,,SOL,100,,
YASMIN,700089,Z76.9     ,,,Drospirenone and estrogen,YASMIN,,Yes,,Yes,,139.03,155.71,,,,,Yes,,,,,,,,,,,TAB,28,,
DUPHASTON 10MG,795682,Z76.9     ,,,Dydrogesterone,DUPHASTON 10MG,,Yes,,Yes,,280.4,314.05,,,,,Yes,,,,,,,,,,,TAB,60,,
CALCIFEROL,711640,Z76.9     ,,,Ergocalciferol,CALCIFEROL,,Yes,,Yes,,322.32,361,,,,,Yes,,,,,,,,,,,CAP,5,,
ILOTYCIN TS SOLN,828874,Z76.9     ,,,Erythromycin,ILOTYCIN TS SOLN,,Yes,,Yes,,184.72,206.89,,,,,Yes,,,,,,,,,,,SOL,50,,
ILOTYCIN TS SOLN,828874,Z76.9     ,,,Erythromycin,ILOTYCIN TS SOLN,,Yes,,Yes,,184.72,206.89,,,,,Yes,,,,,,,,,,,SOL,50,,
VAGIFEM,794252,Z76.9     ,,,Estradiol,VAGIFEM,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,TAB,10,,
ACNETANE,701656,Z76.9     ,,,Isotretinoin,ACNETANE,,Yes,,Yes,,614.75,688.52,,,,,Yes,,,,,,,,,,,TAB,30,,
ORATANE,701469,Z76.9     ,,,Isotretinoin,ORATANE,,Yes,,Yes,,259.92,291.11,,,,,Yes,,,,,,,,,,,TAB,30,,
"LACTEOL FORTE 0,8G",702615,Z76.9     ,,,Lactic acid producing organisms,"LACTEOL FORTE 0,8G",,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,CAP,10,,
PROBIFLORA 4 STRAIN,703324,Z76.9     ,,,Lactic acid producing organisms; combinations,PROBIFLORA 4 STRAIN,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,CAP,10,,
LACTOVITA,865222,Z76.9     ,,,Lactic acid producing organisms; combinations,LACTOVITA,,Yes,,Yes,,57.9,64.85,,,,,Yes,,,,,,,,,,,CAP,30,,
LAMICTIN 25,805505,Z76.9     ,,,Lamotrigine,LAMICTIN 25,,Yes,,Yes,,137.37,153.85,,,,,Yes,,,,,,,,,,,TAB,60,,
XALATAN 2.5ML,833223,Z76.9     ,,,Latanoprost,XALATAN 2.5ML,,Yes,,Yes,,185.92,208.23,,,,,Yes,,,,,,,,,,,OPD,1,,
SINEMET 25MG/100MG,764078,Z76.9     ,,,Levodopa and decarboxylase inhibitor,SINEMET 25MG/100MG,,Yes,,Yes,,361.68,405.08,,,,,Yes,,,,,,,,,,,TAB,30,,
MICROVAL,826006,Z76.9     ,,,Levonorgestrel,MICROVAL,,Yes,,Yes,,72.88,81.63,,,,,Yes,,,,,,,,,,,TAB,28,,
TRIPHASIL,825832,Z76.9     ,,,Levonorgestrel and estrogen,TRIPHASIL,,Yes,,Yes,,82.38,92.27,,,,,Yes,,,,,,,,,,,TAB,28,,
LOGYNON ED,825956,Z76.9     ,,,Levonorgestrel and estrogen,LOGYNON ED,,Yes,,Yes,,50.04,56.04,,,,,Yes,,,,,,,,,,,TAB,28,,
REMICAINE & NOZZLE,759694,Z76.9     ,,,Lidocaine,REMICAINE & NOZZLE,,Yes,,Yes,,110.71,124,,,,,Yes,,,,,,,,,,,INJ,20,,
COZAAR COMP 50MG/12.5MG,828181,Z76.9     ,,,Losartan and diuretics,COZAAR COMP 50MG/12.5MG,,Yes,,Yes,,115.42,129.27,,,,,Yes,,,,,,,,,,,TAB,30,,
SLOW-MAG,764418,Z76.9     ,,,Magnesium chloride,SLOW-MAG,,Yes,,Yes,,79.24,88.75,,,,,Yes,,,,,,,,,,,TAB,30,,
VERMOX SD,881546,Z76.9     ,,,Mebendazole,VERMOX SD,,Yes,,Yes,,37.03,41.47,,,,,Yes,,,,,,,,,,,SUS,10,,
